X,Y,Z
3904086.954668853,954577.4233398759,4936070.792952454
3904086.310683072,954577.3427873144,4936071.314364038
3904084.892232673,954577.5255742657,4936072.393636087
3904064.6927313474,954580.4765036779,4936087.69614605
3904063.493902245,954580.6955814676,4936088.595896396
3904062.317756653,954581.0109041039,4936089.459337481
3904061.109441407,954581.467262589,4936090.32095939
3904059.9871595865,954582.1417243138,4936091.073094406
3904058.9416652843,954583.0557141769,4936091.718890782
3904058.01795467,954584.1239029056,4936092.239389556
3904057.2116025975,954585.3341601003,4936092.640397427
3904056.493900533,954586.6516645459,4936092.951157504
3904055.8713419144,954588.014168331,4936093.178525844
3904055.3572432846,954589.4367704544,4936093.309140204
3904054.956164521,954590.9066490093,4936093.341881243
3904054.6937796096,954592.352309021,4936093.270312689
3904054.5530436644,954593.8682250619,4936093.089677294
3904054.5323502305,954595.32293897,4936092.826489687
3904054.530619779,954614.518256936,4936089.140461762
3904054.538586593,954615.9624346105,4936088.856775679
3904054.603650847,954617.442959879,4936088.521249519
3904054.7621579934,954618.857079302,4936088.125068355
3904055.0694323997,954620.2698806659,4936087.612264482
3904055.5128148505,954621.5492246539,4936087.018167455
3904056.1098612496,954622.7303832798,4936086.322209092
3904056.804839843,954623.7797982685,4936085.57462036
3904057.666750541,954624.6880560654,4936084.723001433
3904058.6074498612,954625.4838636994,4936083.831085503
3904059.6364198728,954626.1124193616,4936082.901950767
3904060.714105124,954626.5067860147,4936081.979531901
3904061.859749172,954626.7485033263,4936081.033046621
3904063.00062845,954626.8833359616,4936080.110837107
3904064.2009154,954626.9154213095,4936079.161692813
3904065.3778801323,954626.757733156,4936078.267326773
3904097.37708453,954622.092405029,4936054.023855331
3904098.5567254853,954621.8978855223,4936053.134449597
3904099.368736573,954621.7468518161,4936052.525514704
3904100.3456048467,954621.4420188998,4936051.816606327
3904101.248252441,954620.9621899959,4936051.199625745
3904102.098147195,954620.2996881313,4936050.659181721
3904102.8900992223,954619.488484412,4936050.19282568
3904103.582556031,954618.60601344,4936049.818327599
3904104.1809344334,954617.5973455377,4936049.541983947
3904104.681934564,954616.5346094606,4936049.352531121
3904105.1016563396,954615.4390009881,4936049.233248594
3904105.4028112153,954614.3191670668,4936049.211770743
3904105.590476022,954613.1350431021,4936049.291805471
3904105.681059346,954611.9531781519,4936049.4476772975
3904105.6916595977,954610.3937223562,4936049.738922527
3904105.6732146433,954598.655268764,4936052.008367701
3904105.677947123,954588.3547749098,4936053.9833483035
3904105.675225578,954586.7740128222,4936054.289144875
3904105.6305702585,954585.6429957381,4936054.541491738
3904105.485535927,954584.5452058928,4936054.866317458
3904105.162957338,954583.5223626735,4936055.316232164
3904104.647261275,954582.6235905923,4936055.89403421
3904104.00247201,954581.8882299489,4936056.541866386
3904103.2795156236,954581.2984751724,4936057.223139437
3904102.469444351,954580.8231809376,4936057.950865946
3904101.599301953,954580.4879515895,4936058.698880758
3904100.729657677,954580.3094741732,4936059.416392748
3904099.7903060624,954580.2988181418,4936060.156431762
3904097.0060101147,954580.652127713,4936062.276015069
3904096.4895444815,954580.6626194075,4936062.679755062
3904095.5660160915,954580.6189309156,4936063.413706807
3904094.641340799,954580.4553772846,4936064.171584745
3904093.771315549,954580.2380279509,4936064.896861102
3904092.8668735432,954579.9115986711,4936065.670129914
3904091.195164143,954579.1555092904,4936067.128727209
3904088.675944031,954578.0014835981,4936069.329599513
3904087.8500846564,954577.6537573349,4936070.045220248
3904086.954668853,954577.4233398759,4936070.792952454
